Battery_Temperature_Start,Battery_Temperature_End,Battery_State_of_Charge_Start,Battery_State_of_Charge_End,SOC_Consumed,Ambient_Temperature_Start,Target_Cabin_Temperature,Distance,Duration,Velocity_mean,Velocity_std,Velocity_max,Battery_Current_mean,Battery_Current_std,Battery_Current_max,Battery_Voltage_mean,Battery_Voltage_std,Battery_Voltage_max,Battery_Temperature_std,Ambient_Temperature_std,Longitudinal_Acceleration_mean,Longitudinal_Acceleration_std,Longitudinal_Acceleration_max,Heating_Power_CAN_mean,Heating_Power_CAN_std,Heating_Power_CAN_max,AirCon_Power_mean,AirCon_Power_std,AirCon_Power_max,Accel_abs_mean,Accel_abs_std,Accel_abs_max,Battery_Power_mean,Battery_Power_std,Battery_Power_max,Velocity_diff_mean,Velocity_diff_std,Velocity_diff_max,Battery_Current_diff_mean,Battery_Current_diff_std,Battery_Current_diff_max,Longitudinal_Acceleration_diff_mean,Longitudinal_Acceleration_diff_std,Longitudinal_Acceleration_diff_max,Battery_Temperature_diff_mean,Battery_Temperature_diff_std,Battery_Temperature_diff_max,Route_Area_FTMRoute_2x,Route_Area_FTMRoute_reverse,Route_Area_Highway,Route_Area_Munich_East,Route_Area_Munich_North,Route_Area_Munich_North_Fast_Charging,Route_Area_Munich_Northeast,Route_Area_Munich_South,Weather_cloudy,Weather_dark,Weather_rainy
21.0,22.0,0.863,0.803,0.05999999999999994,25.5,23.0,7.42768972222222,16.82,26.50217046580773,15.485531189113525,52.84400000000001,-11.953475718533202,22.050319464213306,55.897000000000006,388.4839960356789,2.1093806959910695,393.867,0.23684228899628532,1.6195496542442003,0.014245787908820615,0.7116203669592583,2.668,0.042883052527254696,0.427026689856036,4.967999999999999,1.610408325074331,0.3400886698249778,2.509,0.5086442021803765,0.4976254620343132,2.668,7.198800729759167,6.478018424555895,37.467187472,0.020624007936507937,2.516071309138578,9.739999999999998,-0.000395833333333299,15.472193221501536,79.635,-0.00025099206349206286,0.4753727534430173,2.868,0.000992063492063492,0.02272009064409311,0.6020000000000003,0,0,0,1,0,0,0,0,0,0,0
23.0,26.0,0.803,0.673,0.13,32.0,23.0,23.5097091666667,23.55,59.90926680820948,32.86964673249455,132.419,-20.3847381457891,59.76011535232242,132.082,381.5538365180467,5.148178389521575,393.42600000000004,0.5774225728975999,0.692907955366093,-0.01974663835810333,0.7625746289102472,2.23,0.052152866242038215,0.4844821868379038,5.52,0.45655343241330504,0.2045169725944912,1.054,0.559104033970276,0.5187403623508339,3.132,15.739933042991506,17.639582967887396,103.064130513,-0.035811614730878176,2.5660318417946093,8.042000000000002,0.03156019830028327,33.385116324238076,167.688,1.699716713880987e-05,0.462077221934303,2.7039999999999997,0.002124645892351275,0.039154331849332404,0.7740000000000009,0,0,0,1,0,0,0,0,0,0,0
24.0,25.0,0.835,0.751,0.08399999999999996,21.5,27.0,12.8208461111111,11.18,68.78546348733234,38.093145884416366,143.41199999999998,-27.901591157476403,52.93022761511601,122.88900000000001,384.549521609538,4.909154908492567,393.565,0.7967209343697117,0.7702693483908515,-0.020756085444610033,0.6151824849883659,2.261,1.4528912071535023,0.8445183216539103,5.52,0.42084351713859913,0.25758113218104894,1.4,0.42666269249875804,0.44336011513476065,2.786,15.134641383098858,16.71871870177621,86.405124435,-5.970149253733068e-06,2.144335539460629,8.404000000000003,0.0076169154228855245,29.86924219191478,164.344,0.00017711442786069606,0.4027592118137652,1.684,0.0014925373134328358,0.04875351296509121,0.6660000000000004,0,0,0,1,0,0,0,0,0,0,0
25.0,27.0,0.751,0.667,0.08399999999999996,24.0,22.0,10.7274913888889,6.87,93.51998062953996,41.832866607740165,136.749,-45.01993220338983,74.07628263165286,132.226,377.772205811138,6.329103722936924,390.30100000000004,0.8494985362413721,0.18036507006418867,0.06463438256658595,0.6822027995316028,3.045,0.3172469733656174,0.9939966458997691,5.369999999999999,0.3000363196125908,0.09703888289850025,0.667,0.45953026634382566,0.5078462300518157,3.045,21.00349117937046,24.029165917464766,125.81948905000002,0.017730582524271843,2.2205045705144526,9.363,-0.04351213592232992,37.78671351139912,174.25900000000001,0.0031165048543689328,0.3579157644234055,2.092,0.0048543689320388345,0.09893583732840834,0.8930000000000007,0,0,0,1,0,0,0,0,0,0,0
27.0,27.0,0.667,0.602,0.06500000000000006,24.5,24.0,12.3932234722222,22.776666666666664,32.63917264081932,18.146982355719146,80.736,-10.592314243912634,26.340180177860795,127.00999999999999,378.84012582297,2.271423362029643,386.671,0.0,0.5488640438145542,2.403594942001596e-06,0.6947636967960464,3.125,1.6912194586686173,0.7071433852638377,5.268,0.30407900512070224,0.08245392460849472,0.564,0.4785334935729961,0.5035222451265137,3.125,7.429949292418121,7.697021341293144,78.315778125,-0.010860907759882873,2.451818774946732,10.207,0.011313637314369376,17.00257531049278,148.196,-0.000281635641079272,0.4589895172971384,2.6319999999999997,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0
25.0,28.0,0.851,0.634,0.21699999999999997,26.5,26.0,45.9934605555555,52.74,52.314836650868884,35.35102365496694,125.73599999999999,-15.047725434439178,29.44409088659261,130.305,384.4744524486572,4.025782808114822,393.707,0.862244405082665,1.5444417144905438,-0.018684044233807266,0.45863446179524936,2.6559999999999997,5.3218161137440765,0.017568746837017427,5.8,0.6234799368088468,0.13156192147923454,0.96,0.3006644549763033,0.34679545520842536,2.6559999999999997,8.389645492110585,9.341649079807677,102.70167432800001,2.9387224498216455e-19,1.6132064217625512,9.500000000000007,0.004772123893805304,15.300704940900342,145.48499999999999,-0.00011378002528444961,0.2832746483739389,2.048,0.0009481668773704172,0.02310702736570375,0.7070000000000007,0,0,0,0,1,0,0,0,0,0,0
30.0,30.0,0.634,0.342,0.292,33.5,25.0,44.3359158333333,34.88666666666666,76.22236628462274,33.726216312107056,133.106,-30.921710760904173,42.41202763663633,135.881,367.27722206303724,4.879190066554082,384.29,0.7707104869189222,4.088730255394165,0.0235264247055078,0.4311543477449405,2.334,0.1214546322827125,0.715785171973836,5.52,1.2125396370582617,0.7177458643261867,3.2880000000000003,0.2859151544094237,0.3235139805419376,2.334,13.856039386573704,13.144365682742524,103.284097,-0.0015934065934065937,1.4929349888625054,8.093000000000004,0.006696448479057173,22.057179283815408,152.882,-0.000303710781971652,0.25240250853671536,1.581,-0.00047778308647873863,0.04867802190804663,0.7129999999999974,0,0,0,0,1,0,0,0,0,0,0
26.0,27.0,0.866,0.761,0.10499999999999998,27.0,25.0,18.2286268055556,46.763333333333335,23.386702779757663,26.480990202997255,107.84,-8.250245901639344,28.313614314398315,96.537,388.36547042052746,2.5043127565357497,394.219,0.4948659235819262,1.188445607476933,-0.015675576146353055,0.6428428744104174,2.947,0.3704301496792587,1.2114488366047476,5.52,0.5733264433357093,0.475032075463746,2.44,0.4070827987645521,0.4977120537896727,2.947,6.468813024775481,9.277087343102743,95.75098816499998,-0.00053868092691622,2.2306112161614284,9.961,0.003773262032085571,21.12336874205357,157.914,-0.0002939988116458702,0.47312504918968407,3.077,0.00035650623885918,0.04206528743738872,0.8389999999999986,0,0,0,1,0,0,0,0,1,0,0
22.0,22.0,0.747,0.686,0.06099999999999994,17.5,21.0,11.6612719444444,30.571666666666665,22.877699727520437,16.114735224789634,56.217,-7.366326158038148,15.811727277321445,70.506,384.73379509536784,1.7238543144241096,390.226,0.0,0.3176289293000308,0.03420817438692098,0.5996299297107335,2.075,0.26236566757493185,1.0440211785093962,5.52,0.06170190735694823,0.10769462851798683,0.592,0.39196621253405994,0.4549786877132486,3.968,4.5658148803188014,4.870769052566609,46.729790134999995,-2.270085246643586e-20,2.083092542898756,6.635000000000001,0.00024400218102505953,10.82199320729576,90.803,-5.070883315158123e-05,0.4349153953782012,3.5220000000000002,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0
22.0,23.0,0.696,0.609,0.08699999999999997,22.5,25.0,16.2460069444444,23.625,41.24515162200282,24.15284207300519,88.846,-13.68698989186648,23.969477376815917,95.94800000000001,378.64310578279265,3.5342323457734905,387.863,0.4791589294650764,0.4568890285814608,0.01397696285848613,0.5394056451591581,2.435,0.3068808180535966,1.0510777500919488,5.52,0.34619393511988716,0.3525733782671309,1.6199999999999999,0.33799670897978373,0.42051343120228,2.435,7.002358093556417,7.538017235516256,86.46248007999999,2.4484452730794738e-20,1.8862486741504851,8.442999999999998,0.0023036932486474185,11.173553362637538,137.97600000000003,0.00019713008703834377,0.31043115108144587,2.233,0.0007057163020465773,0.018779727539380245,0.5069999999999979,0,0,0,1,0,0,0,0,1,0,0
